"Region","naics","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2020","Pct_Total","RS_2015","L_T_2006","L_T_2007","L_T_2008","L_T_2009","L_T_2010","L_T_2011","L_T_2012","L_T_2013","L_T_2014","L_T_2015","Local_Trend","N_T_2006","N_T_2007","N_T_2008","N_T_2009","N_T_2010","N_T_2011","N_T_2012","N_T_2013","N_T_2014","N_T_2015","Natl_Trend","Label","Group"
"Tupelo",113110,12,12,13,23,95,88,22,19,19,20,22,14,0.000185459940652819,5.5980461447655,0,0.0833333333333333,0.769230769230769,3.1304347826087,-0.0736842105263158,-0.75,-0.136363636363636,0,0.0526315789473684,0.1,-0.0826531949893714,-0.34098690835851,-0.0299511002444988,-0.0333963453056081,-0.197196870925684,-0.0227365002030044,0.0216036560033237,0.0239934932899553,0.403494837172359,-0.0152801358234296,0.181896551724138,0.0466728185026327,"Timber Tract Operations","1"
"Tupelo",113310,418,460,443,423,422,438,407,401,414,367,339,320,0.00285776908551389,6.83284962446337,0.100478468899522,-0.0369565217391304,-0.0451467268623025,-0.00236406619385343,0.0379146919431279,-0.0707762557077626,-0.0147420147420148,0.032418952618454,-0.113526570048309,-0.0762942779291553,-0.0114238876091754,-0.0289919509390572,-0.0376574983421227,-0.0521255475889678,-0.125095201827875,0.0204965871995251,-0.0114383203117427,0.000274558255378476,0.00799921576316054,-0.00754672942640966,0.0156393924546792,0.00761973128759244,"Logging","1"
"Tupelo",115111,7,5,4,4,5,3,5,10,5,5,0,0,0,0,-0.285714285714286,-0.2,0,0.25,-0.4,0.666666666666667,1,-0.5,0,-1,-0.0255266955266955,-0.0673970783532537,-0.0323958704165184,-0.00257542310522441,-0.189597934341571,0.0491579426490669,-0.0295010845986985,0.0719713902548056,0.0417014178482069,-0.0412329863891113,-0.0521920668058455,0.00607526329349724,"Cotton Ginning","1"
"Tupelo",115112,6,3,0,2,4,6,9,11,9,12,26,47,0.000219179929862422,2.41367863798281,-0.5,-1,NA,1,0.5,0.5,0.222222222222222,-0.181818181818182,0.333333333333333,1.16666666666667,0.127823691460055,-0.0322554953806945,0.0529997531067401,-0.0148495506057054,0.000476001586672048,-0.0611371025295377,0.0251689189189188,0.0334486735870818,-0.0471141581632653,-0.00702752447084409,-0.049540820625158,-0.00334459315503863,"Soil Preparation, Planting, and Cultivating","1"
"Tupelo",115113,32,35,35,35,31,20,20,36,17,14,14,13,0.000118019962233612,6.97466622160113,0.09375,0,0,-0.114285714285714,-0.354838709677419,0,0.8,-0.527777777777778,-0.176470588235294,0,-0.00981961911515991,-0.0679516497876511,-0.116368734665265,-0.0285600952003173,-0.130665577786852,-0.102865194927196,-0.00471204188481678,0.100999473961073,0.149546106067845,0.0536159600997506,-0.172386587771203,0.0117191377947279,"Crop Harvesting, Primarily by Machine","1"
"Tupelo",115114,46,40,29,29,32,48,49,52,72,35,40,43,0.000337199892096035,1.16211422418044,-0.130434782608696,-0.275,0,0.103448275862069,0.5,0.0208333333333333,0.0612244897959184,0.384615384615385,-0.513888888888889,0.142857142857143,0.012755418213225,0.0169785599206842,0.124268827687058,0.00693710538438608,-0.0216098388008289,0.0721201452304985,-0.0128534044845811,0.0585024820022351,-0.150952661559615,0.0324465008675534,0.0132765671390958,-0.0079403614836165,"Postharvest Crop Activities (except Cotton Ginning)","1"
"Tupelo",115115,14,2,12,0,0,0,0,0,0,0,0,0,0,0,-0.857142857142857,5,-1,NA,NA,NA,NA,NA,NA,NA,-0.135064935064935,0.106622894661718,0.3145879014575,0.0467032967032968,-0.22084739407574,0.284167468719923,0.0464680532134158,-0.00483437779767237,-0.100035984166967,0.188224710115954,-0.0698241776730882,-0.0169449864328952,"Farm Labor Contractors and Crew Leaders","1"
"Tupelo",115116,3,3,3,3,3,3,3,3,3,3,3,3,0.0000252899919072026,0.600786953886355,0,0,0,0,0,0,0,0,0,0,0,0.0227055449330784,-0.0437017994858612,0.0053763440860215,-0.0226057365094798,-0.0736135289728923,0.0158389261744967,0.0504756871035941,0.179622641509434,0.0882917466410749,0.0266509896139526,0.012966012352243,"Farm Management Services","1"
"Tupelo",115210,5,2,6,2,5,2,2,5,2,5,2,2,0.0000168599946048017,0.101414768055226,-0.6,2,-0.666666666666667,1.5,-0.6,0,1.5,-0.6,1.5,-0.6,-0.0155555555555556,0.00117514336749092,0.0467158082539085,0.00515833856643044,-0.0261055825784283,-0.0216733870967742,-0.027539693691162,0.0484997351057168,-0.0591639871382637,0.0398398593887315,-0.0440886468212978,-0.00338889536861067,"Support Activities for Animal Production","1"
"Tupelo",115310,55,27,24,12,12,14,384,386,14,12,11,24,0.0000927299703264095,0.921860645503996,-0.509090909090909,-0.111111111111111,-0.5,0,0.166666666666667,26.4285714285714,0.00520833333333326,-0.963730569948187,-0.142857142857143,-0.0833333333333334,0.167081653768241,-0.0613449691991786,0.0179108558928083,-0.143720617864338,-0.0925490196078431,-0.0145203111495247,0.0292931064725486,-0.00724267211997276,-0.00566474980688358,-0.0288303841173931,0.11314549817794,0.0135347716769431,"Forestry Support Activities","1"
"Tupelo",211111,0,2,3,3,3,2,3,2,2,3,3,3,0.0000252899919072026,0.0294598510058043,NA,0.5,0,0,-0.333333333333333,0.5,-0.333333333333333,0,0.5,0,-0.001010101010101,0.119084651532199,0.642689219759585,-0.233816381638164,0.00716610081881508,0.00990283788039603,0.0810214594257468,0.0258234772482024,0.0429312391942842,0.0816189981624991,-0.0232206003194564,-0.0224085452293864,"Crude Petroleum and Natural Gas Extraction","2"
