"Region","naics","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2020","Pct_Total","RS_2015","L_T_2006","L_T_2007","L_T_2008","L_T_2009","L_T_2010","L_T_2011","L_T_2012","L_T_2013","L_T_2014","L_T_2015","Local_Trend","N_T_2006","N_T_2007","N_T_2008","N_T_2009","N_T_2010","N_T_2011","N_T_2012","N_T_2013","N_T_2014","N_T_2015","Natl_Trend","Label","Group"
"Austin",238160,2018,1988,2091,1883,1669,2074,1905,1728,1817,1796,1944,1999,0.00135055898135617,1.03147470285551,-0.0148662041625371,0.0518108651911469,-0.0994739359158298,-0.113648433351036,0.24266027561414,-0.0814850530376084,-0.0929133858267717,0.0515046296296295,-0.011557512383049,0.0824053452115814,0.005604957230279,0.0545141874462596,-0.0250479044357469,-0.0513932956630373,-0.132033260413165,-0.0345171284187004,-0.0382827346313429,0.00616722618404597,-0.00797097017511672,0.0259134437548807,0.0611007618399002,0.0063270065933076,"Roofing Contractors","2"
"Austin",238170,224,302,276,327,282,234,159,133,160,264,181,176,0.000125746489519273,0.481186746782753,0.348214285714286,-0.0860927152317881,0.184782608695652,-0.137614678899083,-0.170212765957447,-0.32051282051282,-0.163522012578616,0.203007518796992,0.65,-0.314393939393939,-0.00574377287538657,0.0456636329536257,-0.0354000679681304,-0.0960834589262297,-0.180936295526396,-0.0794955850473219,-0.0707085212096844,0.0146181660846185,-0.0704538531830643,0.025493986958089,0.0135165361878895,0.00521535146047526,"Siding Contractors","2"
"Austin",238190,0,0,0,0,0,0,0,0,288,296,380,413,0.000263998154791844,0.634514711039411,NA,NA,NA,NA,NA,NA,NA,NA,0.0277777777777777,0.283783783783784,0.0166575666575667,NA,NA,NA,NA,NA,NA,NA,NA,0.0651541329453487,0.0777948520937379,0.00700747029976414,"Other Foundation, Structure, and Building Exterior Contractors","2"
"Austin",238210,8223,9329,10574,10814,9676,9402,8618,8737,9434,9556,11312,11376,0.00785880822896143,1.25134687311737,0.134500790465767,0.1334548183085,0.0226971817665973,-0.105233955982985,-0.0283174865646961,-0.0833865135077643,0.0138083081921561,0.0797756667048186,0.012931948272207,0.183758894935119,0.00113401842571867,0.074081946757045,0.00857328891543863,0.040096559258824,-0.127025273928015,-0.106913649745942,-0.0239138325314756,0.0436205099796931,0.0404394837400401,0.0334530787345979,0.0394941756284621,0.00278497199951843,"Electrical Contractors","2"
"Austin",238220,10165,11384,11702,12889,12196,12730,12007,11286,11848,11948,12638,12232,0.00878002284278771,1.14197255667443,0.119921298573537,0.0279339423752636,0.101435652025295,-0.0537667778726045,0.0437848474909805,-0.0567949725058916,-0.0600483051553261,0.0497962076909446,0.00844024307900071,0.0577502510880481,-0.0065067693694547,0.0682173502229939,0.00860071421369102,0.0035247793672224,-0.118766626193362,-0.0745544963382571,-0.0253127048516119,0.019862536900243,0.0222850579635379,0.0487353191813495,0.0590312769531072,0.00458908029753738,"Plumbing, Heating, and Air-Conditioning Contractors","2"
"Austin",238290,2315,2395,2757,2874,2874,2695,2724,2770,3560,3803,3547,3530,0.00246421435538598,2.33671457700134,0.0345572354211663,0.151148225469729,0.0424374319912948,0,-0.0622825330549757,0.010760667903525,0.0168869309838473,0.285198555956679,0.068258426966292,-0.067315277412569,-0.000967100553277039,0.135689366136559,0.0020107078170255,0.138340991073491,-0.0221259985729675,-0.0788033564392557,-0.0135973597359736,0.00680186421463658,0.0273833354184911,-0.0485577288986986,0.0238860891128709,-0.0106848923844374,"Other Building Equipment Contractors","2"
"Austin",238310,2645,2654,2789,2584,2324,2367,2191,2378,2546,2522,2454,2491,0.00170487229436628,0.95616334333306,0.00340264650283562,0.0508666164280331,-0.0735030476873432,-0.10061919504644,0.0185025817555937,-0.0743557245458386,0.0853491556366957,0.0706476030277545,-0.00942655145325999,-0.0269627279936558,0.00297248153749083,0.0888487048298541,-0.0329101639028037,-0.0902784054253685,-0.193466166031737,-0.16947719858638,-0.0784912415292162,0.024642298171808,0.0502930375153019,0.047848666601342,0.065124199605278,0.0109088474598726,"Drywall and Insulation Contractors","2"
"Austin",238320,2063,2206,2091,2115,1882,2038,1903,1876,1812,1857,1772,1741,0.00123106507971355,0.887120402451305,0.0693165293262239,-0.0521305530371714,0.0114777618364419,-0.11016548463357,0.0828905419766206,-0.0662414131501472,-0.0141881240147136,-0.0341151385927505,0.0248344370860927,-0.0457727517501346,-0.00355280590448812,0.0819809053307803,-0.0339038030401327,-0.0754744246339546,-0.18988447411126,-0.0913960799446153,-0.0527492567888281,0.0051625239005737,0.0199274530511042,0.0344714485082738,0.0471243573244804,0.00767100020847714,"Painting and Wall Covering Contractors","2"
"Austin",238330,0,0,0,0,0,0,0,0,911,936,978,996,0.000679447882595852,1.19807231798006,NA,NA,NA,NA,NA,NA,NA,NA,0.0274423710208562,0.0448717948717949,0.00361177424843726,NA,NA,NA,NA,NA,NA,NA,NA,0.0308780756229856,0.0497796214674617,0.004025231045867,"Flooring Contractors","2"
"Austin",238340,445,455,568,479,434,381,315,486,390,435,449,460,0.000311934661846153,0.744788450661797,0.0224719101123596,0.248351648351648,-0.15669014084507,-0.0939457202505219,-0.122119815668203,-0.173228346456693,0.542857142857143,-0.197530864197531,0.115384615384615,0.0321839080459769,0.00491960722670017,0.103716547304938,-0.0167887000710344,-0.0347898575894408,-0.195189359588893,-0.191357693477133,-0.0820136247014067,0.0377072089437163,0.0620864194664377,0.0717049603217979,0.0369418436244211,0.00794483908653408,"Tile and Terrazzo Contractors","2"
