Group,Hex,Color
0,#cccccc,gray
1,#a6761d,brown
2,#666666,black
3,#377eb8,blue
4,#984ea3,purple
5,#73c000,green
6,#ff7f00,orange
7,#e31a1c,red
8,#e6ab02,gold
