"Region","naics","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","Pct_Total","RS_2015","L_T_2006","L_T_2007","L_T_2008","L_T_2009","L_T_2010","L_T_2011","L_T_2012","L_T_2013","L_T_2014","L_T_2015","Local_Trend","N_T_2006","N_T_2007","N_T_2008","N_T_2009","N_T_2010","N_T_2011","N_T_2012","N_T_2013","N_T_2014","N_T_2015","Natl_Trend","Label","Group"
"Detroit",115310,5,5,2,3,5,2,2,2,2,11,17,0.0000090322573789558,0.0875340107265719,0,-0.6,0.5,0.666666666666667,-0.6,0,0,0,4.5,0.545454545454545,0.222479338842975,-0.0613449691991786,0.0179108558928083,-0.143720617864338,-0.0925490196078431,-0.0145203111495247,0.0292931064725486,-0.00724267211997276,-0.00566474980688358,-0.0288303841173931,0.11314549817794,0.0135347716769431,"Forestry Support Activities","1"
"Detroit",211111,53,108,162,114,146,139,99,100,82,24,23,0.0000122201129244696,0.0140196691115645,1.0377358490566,0.5,-0.296296296296296,0.280701754385965,-0.047945205479452,-0.287769784172662,0.0101010101010102,-0.18,-0.707317073170732,-0.0416666666666666,-0.112945378689522,0.119084651532199,0.642689219759585,-0.233816381638164,0.00716610081881508,0.00990283788039603,0.0810214594257468,0.0258234772482024,0.0429312391942842,0.0816189981624991,-0.0232206003194564,-0.0224085452293864,"Crude Petroleum and Natural Gas Extraction","2"
"Detroit",211112,3,6,3,7,4,6,45,51,52,52,51,0.0000270967721368674,0.305909017860549,1,-0.5,1.33333333333333,-0.428571428571429,0.5,6.5,0.133333333333333,0.0196078431372548,0,-0.0192307692307693,-0.0276120611414729,0.0984554318750539,-0.281304006284368,-0.0515903377418298,0.0774461219315432,-0.00171141298534605,0.01575056252009,0.09873417721519,0.170506912442396,-0.073490813648294,-0.0482471671388102,0.00803746272488027,"Natural Gas Liquid Extraction","2"
"Detroit",212111,0,0,27,19,0,0,0,0,0,0,0,0,0,NA,NA,-0.296296296296296,-1,NA,NA,NA,NA,NA,NA,0.0271604938271605,0.0787992495309568,0.056829431438127,-0.000962049672143639,0.0357568231925192,-0.0434282638481112,0.0357572192239815,-0.0471169280158045,-0.0336641874206339,-0.0760566402059644,-0.0597933356554046,-0.0152150438029165,"Bituminous Coal and Lignite Surface Mining","2"
"Detroit",212112,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.0153818997907054,0.00985918990736834,0.0543232343104465,0.0401651388986075,-0.0127592779459581,0.0668241493662836,0.0930207801056038,-0.0533143736486354,-0.107201646090535,-0.103065222401475,-0.0132453796398614,"Bituminous Coal Underground Mining","2"
"Detroit",212221,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.0153881754020595,0.414767547857794,-0.146585051546392,0.0472819932049831,-0.0248715869153825,0.0427871730893632,0.304324707550514,0.0072020654980296,-0.0339989206691851,-0.0591480446927374,-0.0133604168016884,"Gold Ore Mining","2"
"Detroit",212231,0,0,0,0,0,0,3,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,-1,NA,NA,NA,-0.0181818181818182,0.0935633709356336,0.358009708737864,0.278373547810545,-0.270884306186648,0.0570469798657718,0.222222222222222,-0.186641929499072,0.0337591240875912,-0.0454545454545454,0.20203421174295,-0.0160798906562219,"Lead Ore and Zinc Ore Mining","2"
"Detroit",212234,3,3,3,3,3,3,3,2,3,3,2,0.00000106261851517127,0.00868918959889658,0,0,0,0,0,0,-0.333333333333333,0.5,0,-0.333333333333333,-0.0090909090909091,0.357706189012164,0.144629319681008,-0.0842938241871667,0.115818147661093,-0.227712770435222,0.176040985393503,-0.0523681527481694,0.393877151799687,0.0369798610623815,0.00439843009879559,-0.00995918973342727,"Copper Ore and Nickel Ore Mining","2"
"Detroit",212299,0,0,0,0,0,0,0,7,0,7,0,0,0,NA,NA,NA,NA,NA,NA,NA,-1,NA,-1,-0.0848484848484849,0.020233196159122,0.348235294117647,0.115681874844179,-0.0605586592178771,-0.0601807802093245,0.111364211592002,0.268503757686176,-0.264811490125673,-0.0693528693528693,0.0259774337444241,-0.0219100217476465,"All Other Metal Ore Mining","2"
"Detroit",212311,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.105706075533662,-0.0159643586411732,-0.200716845878136,-0.104319093698371,-0.0276679841897233,-0.0436314363143632,-0.188438651175971,0.111731843575419,-0.0785175879396985,0.150306748466258,0.00762093802432742,"Dimension Stone Mining and Quarrying","2"
