"Region","naics","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2020","Pct_Total","RS_2015","L_T_2006","L_T_2007","L_T_2008","L_T_2009","L_T_2010","L_T_2011","L_T_2012","L_T_2013","L_T_2014","L_T_2015","Local_Trend","N_T_2006","N_T_2007","N_T_2008","N_T_2009","N_T_2010","N_T_2011","N_T_2012","N_T_2013","N_T_2014","N_T_2015","Natl_Trend","Label","Group"
"Tupelo",221122,489,493,510,497,503,496,502,520,502,526,555,565,0.00467864850283248,1.50470083019388,0.00817995910020453,0.0344827586206897,-0.0254901960784314,0.012072434607646,-0.0139165009940357,0.0120967741935485,0.0358565737051793,-0.0346153846153846,0.047808764940239,0.0551330798479088,0.00343999927734304,-0.0387816747357892,0.00570630807835726,0.0277865218984317,0.0297867853619227,-0.0648665515997231,-0.01037310864782,-0.00401202289724423,0.00729728157085963,-0.0153579540232903,0.00639206818206062,0.000665240412640347,"Electric Power Distribution","2"
"Tupelo",221210,34,33,42,45,45,24,52,44,30,43,43,44,0.000362489884003237,0.492077353896616,-0.0294117647058824,0.272727272727273,0.0714285714285714,0,-0.466666666666667,1.16666666666667,-0.153846153846154,-0.318181818181818,0.433333333333333,0,0.00371328018386842,0.0152106729069428,-0.00608831819605382,0.0777801585601028,-0.0016957081043153,0.015170151701517,0.016143549503808,0.00055644511066455,-0.00170245607663322,0.00817435594260907,0.00826595396777074,-0.00213543616495974,"Natural Gas Distribution","2"
"Tupelo",221320,4,4,5,16,16,13,14,15,12,13,16,11,0.000134879956838414,2.53850851002803,0,0.25,2.2,0,-0.1875,0.0769230769230769,0.0714285714285714,-0.2,0.0833333333333333,0.230769230769231,-0.0643093018093018,0.00300390507659953,-0.0684336627732854,0.0721748914965439,0.209145427286357,-0.117296962182269,-0.0216322517207473,0.0555635319454415,-0.0897714907508161,0.0103108188882248,-0.0461470196716462,-0.00646036265394948,"Sewage Treatment Facilities","2"
"Tupelo",236115,236,151,134,234,484,93,100,109,95,92,77,68,0.000649109792284866,0.439217695592386,-0.360169491525424,-0.112582781456954,0.746268656716418,1.06837606837607,-0.807851239669422,0.075268817204301,0.0900000000000001,-0.128440366972477,-0.031578947368421,-0.16304347826087,-0.0247538927799893,-0.342383622263754,-0.0702061562684768,-0.0213712298206475,-0.21044544645165,-0.222004983358493,-0.102229027620306,-0.0481336336531827,0.0978525509506223,0.107744443336988,0.00872210725211442,0.0339905215810364,"New Single-Family Housing Construction (except Operative Builders)","2"
"Tupelo",236116,2,2,3,7,6,9,5,0,0,0,0,0,0,0,0,0.5,1.33333333333333,-0.142857142857143,0.5,-0.444444444444444,-1,NA,NA,NA,-0.0829244829244829,0.0530237283830408,-0.0343330385141111,0.00961698584512916,-0.150571110469671,-0.188863807373965,-0.111766114070261,-0.108883872923896,0.0743639181883482,0.12256316419171,0.0695589479953607,0.0107453603824773,"New Multifamily Housing Construction (except Operative Builders)","2"
"Tupelo",236117,55,104,102,100,118,74,59,49,58,6,6,4,0.0000505799838144052,0.0586387391510324,0.890909090909091,-0.0192307692307693,-0.0196078431372549,0.18,-0.372881355932203,-0.202702702702703,-0.169491525423729,0.183673469387755,-0.896551724137931,0,-0.0849776840178702,0.529865664005331,-0.134583451617545,-0.200165362787082,-0.343097597698825,-0.118040470040881,-0.0946918273146891,-0.111665720498291,0.0983553186871489,0.0680308702286725,0.076114217580791,-0.00275887929211146,"New Housing Operative Builders","2"
"Tupelo",236118,73,121,122,93,81,88,97,68,83,112,107,100,0.000902009711356892,0.343307269837313,0.657534246575342,0.00826446280991733,-0.237704918032787,-0.129032258064516,0.0864197530864197,0.102272727272727,-0.298969072164949,0.220588235294118,0.349397590361446,-0.0446428571428571,-0.0129342651035368,0.457293983048116,-0.0109468772374063,-0.127324357788293,-0.136766891285967,-0.00117241558422287,-0.0123693878081668,0.0227731746670528,0.0530782751950811,0.045584065481262,0.0650310928242703,-0.0106982607420118,"Residential Remodelers","2"
"Tupelo",236220,722,797,718,668,577,480,483,499,378,370,409,414,0.00344786889668195,0.792151980961262,0.10387811634349,-0.0991217063989962,-0.0696378830083565,-0.13622754491018,-0.168110918544194,0.00625000000000009,0.0331262939958592,-0.24248496993988,-0.0211640211640212,0.105405405405405,0.00228870544731367,0.0565344119344497,0.0271042766429501,-0.00808474758068356,-0.126840352819083,-0.103326212369836,-0.0662887725153939,-0.0755064683730763,0.0805688888888889,0.0312530847948407,0.0535025216720211,0.00385492072873759,"Commercial and Institutional Building Construction","2"
"Tupelo",237110,203,178,203,190,204,165,159,136,124,110,76,67,0.000640679794982466,0.488059202152548,-0.123152709359606,0.140449438202247,-0.0640394088669951,0.0736842105263158,-0.191176470588235,-0.0363636363636364,-0.144654088050314,-0.0882352941176471,-0.112903225806452,-0.309090909090909,-0.0246551147478859,0.0761156755582901,-0.000341142780265646,-0.0698812321860295,-0.160892751945596,-0.0783106189839819,-0.0677188082558815,0.104366148730004,-0.0215458498280225,0.0135570736883996,0.0426269844385985,0.00511475587726283,"Water and Sewer Line and Related Structures Construction","2"
"Tupelo",237210,28,29,31,22,18,16,12,11,9,9,10,10,0.0000842999730240086,0.391556996028921,0.0357142857142858,0.0689655172413792,-0.290322580645161,-0.181818181818182,-0.111111111111111,-0.25,-0.0833333333333334,-0.181818181818182,0,0.111111111111111,0.0054236391429232,0.119827210176026,-0.0126657033360558,-0.118660676788373,-0.227975683363898,-0.193678107172917,-0.128322894919972,0.478631113949651,-0.536804405730329,0.0352022380230796,-0.0192170551364336,-0.00498100508372349,"Land Subdivision","2"
"Tupelo",237310,1018,1115,1388,1142,989,814,962,1011,965,681,617,547,0.00520130833558133,2.42566278500032,0.0952848722986248,0.244843049327354,-0.177233429394813,-0.133975481611208,-0.176946410515672,0.181818181818182,0.0509355509355509,-0.0454995054401582,-0.294300518134715,-0.0939794419970631,-0.023667978734232,0.0448772145265872,-0.000793770440357999,-0.0312926259264164,-0.103757032516449,-0.0214812371660513,-0.0444239063462724,-0.037071453766883,-0.0110603870347685,0.0253832581222044,0.0109344168052081,0.000945632011952978,"Highway, Street, and Bridge Construction","2"
"Tupelo",238110,62,66,89,61,51,36,28,36,29,14,16,14,0.000134879956838414,0.0826755888813904,0.064516129032258,0.348484848484848,-0.314606741573034,-0.163934426229508,-0.294117647058823,-0.222222222222222,0.285714285714286,-0.194444444444444,-0.517241379310345,0.142857142857143,-0.0202021904474634,0.125261342437788,-0.0531532884159426,-0.0473992831304405,-0.26291021199416,-0.16694347079442,-0.0720199704058465,0.0225427545493275,0.0446212815598701,0.0583154332207099,0.0660417990158604,0.0100526689947261,"Poured Concrete Foundation and Structure Contractors","2"
"Tupelo",238120,46,28,40,124,59,55,53,111,60,72,50,38,0.000421499865120043,0.734650822352465,-0.391304347826087,0.428571428571429,2.1,-0.524193548387097,-0.0677966101694916,-0.0363636363636364,1.09433962264151,-0.459459459459459,0.2,-0.305555555555556,-0.052960761696793,0.0962714628731935,0.110711629060253,0.0576081159851669,-0.174597776631174,-0.21715657720886,-0.0503611484156655,0.158025493531064,0.00511584923097241,0.0523757922043806,0.0864484523215177,0.00245724819728938,"Structural Steel and Precast Concrete Contractors","2"
