"Region","naics","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2020","Pct_Total","RS_2015","L_T_2006","L_T_2007","L_T_2008","L_T_2009","L_T_2010","L_T_2011","L_T_2012","L_T_2013","L_T_2014","L_T_2015","Local_Trend","N_T_2006","N_T_2007","N_T_2008","N_T_2009","N_T_2010","N_T_2011","N_T_2012","N_T_2013","N_T_2014","N_T_2015","Natl_Trend","Label","Group"
"Austin",115310,0,2,0,3,2,2,3,3,3,3,3,3,6,3,3,3,0.00000208419595888298,0.0207197114940248,NA,0.0844717711976986,NA,0,0.0844717711976986,0.0844717711976986,0,0.148698354997035,0,0,0.000922359858189609,-0.0207994187492784,-0.00491004767452907,-0.0458701586301814,-0.0695406709865404,-0.0605786643575354,-0.0430989528564568,-0.0478755868919902,-0.0189815602907255,-0.00557610103677941,0.0189488991755882,0.00345448753497003,"Forestry Support Activities","1"
"Austin",211111,711,895,905,736,662,715,953,782,774,786,870,1282,1206,1368,1327,1430,0.000921909345812572,1.07391540765032,0.00112265228097796,0.0126374228658825,-0.0287933782911705,0.0101192073544869,0.0349346113670757,0.0400222777017492,0.0611066222055663,0.0905061293783809,0.120647501861875,0.110426136469957,0.0151172688479298,0.0057978999551529,0.123063434185792,0.0756653828567524,0.0801608794954705,0.0745493856685824,0.0671381727429217,-0.0287655002445864,0.0330198424688131,0.0478601029919739,0.0408944306949532,-0.00459377330778212,"Crude Petroleum and Natural Gas Extraction","2"
"Austin",211112,58,13,12,14,15,17,12,35,82,38,76,12,5,180,363,415,0.000252187711024841,2.81920764126335,-0.217644417962883,-0.0158810858664757,0.238732008127058,0.424089103236571,0.204310485211984,0.349189442606171,0,-0.322389086599519,0.170285247907468,0.570451778398256,0.0270487047134512,0.0612882942504609,-0.0398350353395837,-0.0394078580425616,-0.0407530628704549,-0.0423759145396516,-0.0572512033411763,0.0262790623432052,0.0703876048769754,0.0385607484959871,0.0286923714247085,0.00600367019911736,"Natural Gas Liquid Extraction","2"
"Austin",212111,0,0,0,0,0,0,0,174,187,188,273,285,284,294,318,340,0.000220924771641596,0.842996442910212,NA,NA,NA,NA,NA,NA,NA,0.102944903788429,0.09471519122276,0.110845996447212,0.0131839080334932,0.0316306904568453,0.0288501918265938,0.0347702771411511,0.0501264844409806,0.0244731336883808,0.0161645509086554,-0.00466108784651842,-0.0112643335715407,-0.0335982454206654,-0.0369277574707907,-0.00883036027445587,"Bituminous Coal and Lignite Surface Mining","2"
"Austin",212112,0,0,0,2,0,0,0,0,0,0,0,0,0,3,3,3,0.00000208419595888298,0.00668369203790965,NA,NA,NA,-1,NA,NA,NA,NA,NA,NA,0.0181818181818182,0.00772027550259713,-0.00445009923834072,0.0345242173047349,0.0350043739168377,0.0211225672392212,0.0312656649063168,0.0477172102351755,0.0253933086513645,-0.005463569180162,-0.0243630117181496,-0.00177707158317705,"Bituminous Coal Underground Mining","2"
"Austin",212113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.00000138946397258865,0.226698019875801,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0.121121950593251,0.159416201093501,-0.0219547627834619,0.0243648238417051,-0.0343811264254239,-0.0263971910379631,-0.115056471660296,0.0282170931130985,-0.0697202343887722,-0.0720627724528581,-0.021224474105616,"Anthracite Mining","2"
"Austin",212221,2,0,0,0,0,0,35,0,0,0,0,2,3,0,0,0,0,0,-1,NA,NA,NA,NA,NA,-0.435852860677917,NA,NA,NA,0.0466208570785833,-0.0456917474985574,0.0703251096012674,0.0515560032931259,0.0443393696578076,0.0459732473451611,0.0515581473208899,0.0346022509045196,0.069460358620218,0.0523191806975474,0.0448149604904959,0.00457220721167737,"Gold Ore Mining","2"
"Austin",212231,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,0.00000208419595888298,0.0999369872483601,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,-0.0363331964696977,0.0274073400178307,0.138306488757704,0.0532989518125107,0.0790934795183895,0.103367817290983,-0.00414503369555086,-0.0455604890206843,0.00727589974129828,0.0335058776201351,-0.00351370256224707,"Lead Ore and Zinc Ore Mining","2"
"Austin",212299,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,-1,NA,NA,-0.0303030303030303,-0.00431336588440623,0.0381018672666689,0.0509175342355643,0.029286153256366,0.062634476001945,0.0809741123699133,0.0678752145794752,-0.0175913600439116,-0.0194375724004507,-0.0020840927430118,-0.00358272891186286,"All Other Metal Ore Mining","2"
"Austin",212311,248,239,129,157,187,291,207,344,325,333,313,253,313,341,391,375,0.000271640206641082,9.0027586584108,0.0324957237534249,-0.0283396324992414,0.216728683786412,0.156636096492828,0.122329880047311,0.0146827323586107,0.0409503969692568,-0.0187104386183757,0.00965779740365402,0.0326342008334695,-0.00827073669844049,0.130685136842806,0.0664981065403458,0.076927628050969,-0.00488157505953934,-0.0540595058239586,-0.0811154772016921,-0.115855922989694,-0.0555414141814993,-0.0501617254784991,-0.0176879259306073,-0.0192381855480192,"Dimension Stone Mining and Quarrying","2"
